,Date,News
0,2019-01-01,"u.s. agents fire tear gas across mexican border kim and trump back at square 1: if u.s. keeps sanctions, north will keep nuclear program german man is suspected of attacking foreigners, using car as weapon a 6-pack of beer for $26? qatar doubles the price of alcohol ‘new year miracle’ in russia: baby is pulled from rubble american accused of spying in russia is marine veteran who visited moscow for wedding, family says taliban attacks in northern afghanistan kill 27 security officers stabbing in manchester train station is being investigated as terrorism taiwan’s leader urges china to address differences peacefully brazil wanted change. even before taking office, jair bolsonaro delivered."
1,2019-01-02,"saudi arabia denies issuing american weapons to sudanese jair bolsonaro, on day 1, undermines indigenous brazilians’ rights where doulas calm nerves and bridge cultures during childbirth protests break out after 2 women enter hindu temple in india spurning erdogan’s vision, turks leave in droves, draining money and talent freed from forced marriages, u.k. women stuck with the bill xi jinping calls taiwan’s independence a ‘dead end’ uffizi prods germans to return painting stolen in world war ii russian rescue workers pull baby out of the rubble women defy sexist tradition and enter indian temple"
2,2019-01-03,"pope cites ‘crisis of credibility’ in message to u.s. bishops on sex abuse mexico calls on u.s. to investigate use of tear gas at border reportage that rises into art yellow vest leader is arrested in france amid crackdown cathay pacific surprised by its own offer: $16,000 fare for $675 offered free tickets for ‘schindler’s list,’ germany’s far right sees a provocation spy or not? american who loves russia ensnared in new cold war china’s moon landing: lunar rover begins its exploration saudi arabia seeks death penalty for 5 suspects in khashoggi killing philippine mayor was behind congressman’s killing, police say"
3,2019-01-04,"pompeo plans to press saudi leaders over killing of jamal khashoggi matteo salvini likes nutella and kittens. it’s all part of a social media strategy. egypt tried to block broadcast of cbs interview with president sisi can justin trudeau make it two in a row? envoys denounce venezuela’s maduro and urge him to cede power opposition leader is seen by church as winning congo vote storm causes cargo ship to lose containers with toxic substance she’s on a #metoo mission in china, battling censors and lawsuits toxic peroxide found on dutch beach after cargo ship loses 277 containers ‘snowflakes’ and ‘me me me millennials’ asked to join ranks of british army"
4,2019-01-05,"legal abortions begin in ireland with solidarity and small protests belgium bans religious slaughtering practices, drawing praise and protest china targets prominent uighur intellectuals to erase an ethnic identity france debates where to teach arabic: public school or local mosque? violence surges as yellow vests attack french government ministry japan’s ‘king of tuna’ pays record $3 million for bluefin at new tokyo fish market after a rocky 2018, populism is down but far from out in the west protesting ‘slave law,’ thousands take to streets in hungary migrants in tijuana know trump doesn’t want them. they aren’t giving up. russia high-rise collapse an emblem of hardships in the hinterlands"
5,2019-01-06,"saudi woman who tried to flee family says, ‘they will kill me’ bolton puts conditions on syria withdrawal, suggesting a delay of months or years american isis member caught on syrian battlefield, militia says israeli teenagers are suspected in deadly stoning of a palestinian woman ukrainian orthodox christians formally break from russia afghan villagers panning for gold die as tunnels collapse a quiet revolution: more women seek divorces in conservative west africa"
6,2019-01-07,"netanyahu, feeling heat, grabs spotlight to assail ‘witch hunt’ investigation two marines and navy sailor are investigated in contractor’s death north korea’s leader, kim jong-un, arrives in china by train poland cracks down on escape rooms after deadly fire where 518 inmates sleep in space for 170, and gangs hold it together pope francis appeals to europe to show ‘solidarity’ with migrants saudi woman seeking asylum is allowed in thailand nigeria military raids newspaper, seizes computers and arrests journalists malaysia’s king, an unusual monarch, abruptly leaves his job coup attempt in gabon is thwarted, government says"
7,2019-01-08,"e.u. imposes sanctions on iran over assassination plots drone disrupts heathrow, prompting a scramble to improve security ‘monster of a fatberg’ discovered in english sewer u.k.’s mixed signals on a no-deal brexit: a calamity, and all is well in bosnia, a father’s grief swells into an antigovernment movement far-right, anti-immigrant vox party gains a toehold in spain 210-foot fatberg blocks sewers of english seaside town erdogan says turkey cannot ‘swallow the message’ from bolton oil tanker fire in hong kong kills one far-right lawmaker in germany is severely beaten in street attack"
8,2019-01-09,"guatemala’s experiment in fighting corruption is under attack american boy, 16, caught fighting for isis in syria, militia says rwanda cracks down on skin bleaching agents by seizing cosmetics bolsonaro pulls brazil from u.n. migration accord woman and 2 children die in nepal menstruation hut police say alternative for germany embellished lawmaker’s assault asian-australian actors, overlooked at home, flourish in hollywood is stunning an animal before slaughter more humane? some religious leaders say no stranded migrants are finally brought to shore after 19 days a norwegian air jet landed in iran 4 weeks ago. it can’t leave yet."
9,2019-01-10,"disputed congo election result leaves country on edge russia is running low on world war ii soviet tanks. it found help in laos. along the u.s.-mexico border violence grows in northern afghanistan, but neither side is gaining much ground two speeches, a decade apart: how pompeo departed from obama for theresa may, still at odds with parliament, the brexit walls are closing in 52 places to go: how perth and northern rivers made the list same administration, different messages: america’s syria strategy austrian workers rescue animal trapped in heavy snowfall pompeo speech lays out vision for mideast, taking shots at obama"
