,Date,News
0,2021-01-01,"dr. fauci advises against the british approach of delaying a second dose of vaccine. how support for legal abortion went mainstream in argentina is there a future for winnipeg’s landmark department store? how israel became a world leader in vaccinating against covid-19 u.k. eliminates tax on tampons and other sanitary products armando manzanero, influential mexican balladeer, is dead ontario’s finance minister resigns after a jaunt in the caribbean. black and hispanic americans turn to doctors who look like them for reassurance on vaccinations. chief justice john roberts commends the courts’ responses to the pandemic. the u.s. enters 2021 playing catch-up with its vaccine distribution, prompting sharp words from mitt romney."
1,2021-01-02,"french police shut down illegal rave 25 california prisons have logged more than 1,000 infections. none are in the first wave of vaccinations. canada will require incoming international air passengers to test negative before boarding, and other news from around the world. has africa been spared? researchers say the numbers of cases and deaths are probably undercounted. targeted killings are terrorizing afghans. and no one is claiming them. under fire, the netherlands is speeding up the start of its lagging vaccination campaign. conjuring up the world through the sense of taste india nears approval for two vaccines. a continent where the dead are not counted fleeing lockdown, americans are flocking to mexico city"
2,2021-01-03,"100 civilians are reported dead after attacks in niger a case every six seconds: the mayor of los angeles warns of the virus’s rapid spread in households. a year of scandals and self-questioning for france’s top publishers pope francis chides those traveling abroad to escape coronavirus lockdowns. india clears two coronavirus vaccines for emergency use italy mourns an immigrant’s life cut short armed attackers kidnap and kill 11 miners in pakistan the julian assange extradition case: what you need to know with concessions and deals, china’s leader tries to box out biden india approves oxford-astrazeneca covid-19 vaccine and 1 other"
3,2021-01-04,"as birthrate falls, south korea’s population declines, posing threat to economy it’s back to lockdown for britain as cases soar scotland will go into lockdown after coronavirus variant spread saudi arabia will reopen borders with qatar, easing a regional rift scotland goes back into lockdown as the new variant of the virus gains a foothold. britain re-enters sweeping lockdown as virus variant rages trump’s call leaves allies fearful for american democracy post-covid offices could be more dynamic than ever. the n.b.a.’s halftime performers feel the strain of the pandemic. rescuers search for survivors in norway landslide that killed at least 7"
4,2021-01-05,"gordon stewart, founder of sandals resorts, dies at 79 isaac shoshan, israeli spy who posed as an arab, is dead at 96 new york real estate begins to recover after a grim year. britain scrambles to battle the virus merkel extends coronavirus lockdown in germany prominent french intellectual steps down amid accusations of incest the virus has recently infected one in 50 people in england, officials say. the grammy awards are postponed until march as the virus rages in los angeles. rumored trump trip to scottish golf course ruled out of bounds the u.s. surgeon general warns not to let priority guidelines slow down vaccinations."
5,2021-01-06,"america’s friends and foes express horror as capitol attack ‘shakes the world’ after quick vaccine success, israel faces new virus woes as britain enters a crisis period, a reprieve of sorts for johnson court in pakistan bans ‘virginity tests’ in sexual violence cases albert roux, chef who brought french cuisine to london, dies at 85 will the sudden e.u.-china deal damage relations with biden? with mass arrests, beijing exerts an increasingly heavy hand in hong kong ohio state’s virus troubles prompt talk of postponing the national championship game. the e.u. drug regulator approves the moderna vaccine. after rumors flared that trump may be heading to scotland on jan. 19, the country’s leader says he will not be allowed in."
6,2021-01-07,"israel reaches a deal with pfizer for enough vaccine to inoculate all its population over 16 by the end of march. boris johnson calls trump’s actions ‘completely wrong’ as u.s. tops 4,000 deaths in a day, a record, fauci warns that january will get harder. france vows to speed up vaccinations as it warns that restrictions will remain in place for now. how world leaders reacted to the capitol attack canadian politicians face ire after taking trips during the holidays shamsur rahman faruqi, towering figure in urdu literature, dies at 85 afghan war casualty report: january 2021 in washington riot, echoes of post-soviet uprisings ‘angry and sad,’ merkel says of capitol mob attack"
7,2021-01-08,"ugandan police harass opposition candidate why i got the russian vaccine amid the rampage at the u.s. capitol, a sweatshirt stirs troubling memories a polarizing canadian ‘messiah’ shows how pandemic is shaking up culture e.u. secures 300 million additional doses of pfizer-biontech vaccine in amsterdam, getting high at coffee shops may soon be for locals only uganda opposition candidate, citing abuses, petitions international court biden plans to release nearly all available vaccine doses in an attempt to speed delivery. protesters given prison terms for beating reporter at hong kong airport she said #metoo. now she’s being punished under defamation law."
8,2021-01-09,"fauci suggests theaters could reopen ‘some time in the fall.’ vaccine registration sites are opening across the country, and filling up in minutes. much of pakistan loses power in massive blackout how singapore has kept the coronavirus off campus pope calls coronavirus vaccinations an ethical obligation queen elizabeth and prince philip receive vaccinations in britain. in the cold and rain, india’s farmers press their stand against modi memorial to massacre victims in norway divides traumatized community with new law, sweden gains power to impose coronavirus restrictions biden pledges action on the pandemic and the economy."
9,2021-01-10,"afghan leaders sideline spokesmen in an escalating misinformation war the art of the lie? the bigger the better populist, prisoner, president: a convicted kidnapper wins kyrgyzstan election the u.s. vaccine rollout needs to ‘hit the reset,’ an ex-f.d.a. chief says. a year after wuhan, china tells a tale of triumph (and no mistakes) crews search for wreckage from indonesian plane crash indonesia crash thwarts push to rehabilitate country’s airlines strong views and ‘close to the boss’: how u.s. envoy reshaped a conflict at least 12 dead in 2 landslides in indonesia"
10,2021-01-11,"madrid struggles with heaviest snowfall in 50 years the palestinian authority authorizes use of russia’s sputnik v vaccine. washington has another problem: the coronavirus is surging in the capital. group takes legal action over lack of abortion services in northern ireland in kashmir’s stillness, hopes wither and houseboats sink madrid is buried under heaviest snowfall in 50 years corruption trial of french-israeli tycoon begins in switzerland pope formalizes women’s roles, but priesthood stays out of reach ‘i’m still shocked’: indonesian airline crash shakes small fishing village indonesia gives emergency approval to a vaccine from a chinese company."
11,2021-01-12,"imposing strict measures faster could have saved tens of thousands of lives in europe, a c.d.c. report says. with hospitals nearly overwhelmed, britain faces harder days angst in senegal after its ‘best student’ goes missing in paris the korean war emptied the town. those who rebuilt it may now be rewarded vaccine skepticism helped put them in power. can they inoculate italy? a ham sandwich is contraband in the brave new post-brexit world report gives glimpse into horrors of ireland’s mother and baby homes ‘i could just vanish’: in kabul, pocket notes to prevent anonymous death data recorder recovered from indonesian plane crash ‘the challenge ahead is enormous’: joe biden’s pick for c.d.c. director looks ahead."
12,2021-01-13,"which americans can get a vaccine now? here’s a look at the new guidance. dozens die in ethnic massacre in troubled ethiopian region italy’s government enters a crisis in middle of pandemic another french intellectual falls after comments on abuse accusations ‘unacceptable’ food packages for poorer children in england prompt outcry european populists who looked to trump now look away italy starts largest mob trial in decades estonia’s prime minister steps down under a cloud for some scottish seafood businesses, brexit could be a death knell indonesian plane went from no flights to 132 in less than a month"
13,2021-01-14,"helga weyhe, germany’s oldest bookseller, dies at 98 madrid mayor says snowstorm caused nearly $2 billion in damage u.s. blacklisting of yemen’s houthis may cause ‘large-scale famine,’ u.n. warns the u.k. bans travel from latin america and portugal, citing concern about a brazilian variant. consumer groups target amazon prime’s cancellation process massages and private shopping trips cushion tycoon’s detention a raven queen vanishes, and britain checks a prophecy u.s. unemployment claims jump sharply, showing the pandemic’s continuing economic toll. france ramps up border controls and extends a nationwide curfew. ugandans voted today. will their president of 35 years win again?"
14,2021-01-15,"abbas announces palestinian elections after years of paralysis in blow to u.s. alliance, mexico clears general accused of drug trafficking joe biden plans a vaccination blitz, but supplies are scarce. a mix of pride and doubts as modi launches india’s covid-19 vaccine drive ugandan military surrounds home of opposition candidate does a woman ‘walking’ her boyfriend on a leash signal covid ennui? fiji will lead u.n. rights body, over russian and chinese opposition trump health officials scramble to clarify confusing statements about how vaccines will be released to states. there have now been over two million virus-related deaths worldwide. ugandan forces surround home of leading opposition figure"
15,2021-01-16,"countries are bracing for the impact of more contagious virus variants. germany’s buchenwald memorial urges visitors to respect graves nepali team says it has reached k2 summit in a wintertime first india begins vaccinating health care workers for covid-19 uganda’s leader of 35 years is re-elected amid accusations of vote-rigging a step toward a post-merkel world: her party picks a new leader — again how british scientists found the more infectious coronavirus variant in hong kong, a new party calls for stability (and raises suspicions) protesters who fled hong kong arrive in u.s., seeking asylum india begins inoculating its 1.3 billion people, starting with health care workers."
